datetime,balance,drawdown,ddpercent
2022-07-25,10000000.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0
2022-08-08,10020747.488,0.0,0.0
2022-08-09,10019147.488,-1600.0,-0.00015966872749922345
2022-08-10,10017547.488,-3200.0,-0.0003193374549984469
2022-08-11,10017547.488,-3200.0,-0.0003193374549984469
2022-08-12,10022027.488,0.0,0.0
2022-08-15,10021387.488,-640.0,-6.385933392881949e-05
2022-08-16,10023627.488,0.0,0.0
2022-08-17,10024587.488,0.0,0.0
2022-08-18,10014347.488,-10240.0,-0.0010214884165815163
2022-08-19,10013067.488,-11520.0,-0.001149174468654206
2022-08-22,10025867.488000002,0.0,0.0
2022-08-23,10019467.488,-6400.000000001863,-0.0006383487521316282
2022-08-24,10016907.487999998,-8960.000000003725,-0.0008936882529843909
2022-08-25,10019467.488,-6400.000000001863,-0.0006383487521316282
2022-08-26,10021067.488,-4800.000000001863,-0.00047876156409876755
2022-08-29,10023947.488,-1920.0000000018626,-0.0001915046256396185
2022-08-30,10025547.488,-320.00000000186265,-3.1917437606757905e-05
2022-08-31,10017867.488,-8000.000000001863,-0.0007979359401644887
2022-09-01,10016907.488,-8960.000000001863,-0.0008936882529842051
2022-09-02,10014667.488,-11200.000000001863,-0.00111711031623021
2022-09-05,10015947.488,-9920.000000001863,-0.0009894405658039216
2022-09-06,10016907.488,-8960.000000001863,-0.0008936882529842051
2022-09-07,10013707.488,-12160.000000001863,-0.0012128626290499264
2022-09-08,10015947.488,-9920.000000001863,-0.0009894405658039216
2022-09-09,10007947.488,-17920.000000001863,-0.0017873765059682244
2022-09-13,9997707.488,-28160.000000001863,-0.002808734509378532
2022-09-14,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-15,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-16,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-19,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-20,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-21,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-22,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-23,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-26,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-27,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-28,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-29,9982931.104,-42936.384000001475,-0.004282560491787089
2022-09-30,9982931.104,-42936.384000001475,-0.004282560491787089
2022-10-10,9982931.104,-42936.384000001475,-0.004282560491787089
2022-10-11,9982931.104,-42936.384000001475,-0.004282560491787089
